2024-05-30 11:31:28.689 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-30 11:31:28.690 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1698 ms
2024-05-30 11:31:28.847 [main] INFO  org.redisson.Version - Redisson 3.21.3
2024-05-30 11:31:29.027 [redisson-netty-2-5] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2024-05-30 11:31:29.063 [redisson-netty-2-20] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for localhost/127.0.0.1:6379
2024-05-30 11:31:29.246 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2024-05-30 11:31:29.557 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection org.postgresql.jdbc.PgConnection@308e465b
2024-05-30 11:31:29.558 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2024-05-30 11:31:29.559 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2024-05-30 11:31:29.559 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2024-05-30 11:31:31.411 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-05-30 11:31:31.477 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4d5aeea7, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3453cf27, org.springframework.security.web.context.SecurityContextHolderFilter@22599048, org.springframework.security.web.header.HeaderWriterFilter@15974f4e, org.springframework.web.filter.CorsFilter@2bf45b7c, org.springframework.security.web.authentication.logout.LogoutFilter@2a45c6f0, net.maku.framework.security.filter.AuthenticationTokenFilter@4244e477, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@33544cc5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4c1f4817, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6ecf239d, org.springframework.security.web.session.SessionManagementFilter@280d20fb, org.springframework.security.web.access.ExceptionTranslationFilter@6e1d939e, org.springframework.security.web.access.intercept.AuthorizationFilter@2d12a71f]
2024-05-30 11:31:31.631 [main] INFO  com.fhs.common.spring.SpringContextUtil - ------SpringContextUtil setApplicationContext-------
