2024-06-03 09:19:16.376 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@35355074, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@290964bd, org.springframework.security.web.context.SecurityContextHolderFilter@7daecd21, org.springframework.security.web.header.HeaderWriterFilter@3df88502, org.springframework.web.filter.CorsFilter@3c39c739, org.springframework.security.web.authentication.logout.LogoutFilter@54a81a18, net.maku.framework.security.filter.AuthenticationTokenFilter@3533d790, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@304f4888, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@d4df4ce, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3411e0d7, org.springframework.security.web.session.SessionManagementFilter@2f43c73a, org.springframework.security.web.access.ExceptionTranslationFilter@6dfe4788, org.springframework.security.web.access.intercept.AuthorizationFilter@42908ad5]
2024-06-03 09:19:16.568 [main] INFO  com.fhs.common.spring.SpringContextUtil - ------SpringContextUtil setApplicationContext-------
2024-06-03 09:19:17.289 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-06-03 09:19:17.298 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-06-03 09:19:17.310 [main] INFO  net.maku.ServerApplication - Started ServerApplication in 12.523 seconds (process running for 13.178)
2024-06-03 09:19:17.931 [RMI TCP Connection(3)-192.168.1.27] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-03 09:19:17.931 [RMI TCP Connection(3)-192.168.1.27] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-06-03 09:19:17.932 [RMI TCP Connection(3)-192.168.1.27] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-06-03 09:19:26.077 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2024-06-03 09:19:26.078 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2024-06-03 09:19:26.079 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2024-06-03 09:19:26.079 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2024-06-03 09:21:12.102 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-06-03 09:21:12.129 [main] INFO  net.maku.ServerApplication - Starting ServerApplication using Java 17.0.10 with PID 4136 (D:\JavaPro\eps-background\ske-server\target\classes started by zheng in D:\JavaPro\eps-background)
2024-06-03 09:21:12.130 [main] INFO  net.maku.ServerApplication - The following 1 profile is active: "dev"
2024-06-03 09:21:13.109 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-06-03 09:21:13.111 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-06-03 09:21:13.153 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 0 Redis repository interfaces.
2024-06-03 09:21:13.937 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-06-03 09:21:13.944 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-06-03 09:21:13.945 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-06-03 09:21:13.945 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-06-03 09:21:14.007 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-03 09:21:14.007 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1852 ms
2024-06-03 09:21:14.192 [main] INFO  org.redisson.Version - Redisson 3.21.3
2024-06-03 09:21:14.383 [redisson-netty-2-5] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2024-06-03 09:21:14.421 [redisson-netty-2-20] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for localhost/127.0.0.1:6379
2024-06-03 09:21:14.627 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2024-06-03 09:21:14.813 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection org.postgresql.jdbc.PgConnection@75693526
2024-06-03 09:21:14.814 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2024-06-03 09:21:14.815 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2024-06-03 09:21:14.815 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2024-06-03 09:21:16.841 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-06-03 09:21:16.910 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@582ce329, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6df8131c, org.springframework.security.web.context.SecurityContextHolderFilter@188caeaf, org.springframework.security.web.header.HeaderWriterFilter@3a7deba5, org.springframework.web.filter.CorsFilter@6705fb02, org.springframework.security.web.authentication.logout.LogoutFilter@4a3363c9, net.maku.framework.security.filter.AuthenticationTokenFilter@347c5721, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7f129873, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3b75fdd0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5e888fba, org.springframework.security.web.session.SessionManagementFilter@1507bc3, org.springframework.security.web.access.ExceptionTranslationFilter@4225b4e2, org.springframework.security.web.access.intercept.AuthorizationFilter@4d57fc11]
2024-06-03 09:21:17.069 [main] INFO  com.fhs.common.spring.SpringContextUtil - ------SpringContextUtil setApplicationContext-------
2024-06-03 09:21:17.570 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-06-03 09:21:17.587 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-06-03 09:21:17.598 [main] INFO  net.maku.ServerApplication - Started ServerApplication in 5.766 seconds (process running for 6.424)
2024-06-03 09:21:17.891 [RMI TCP Connection(4)-192.168.1.27] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-03 09:21:17.891 [RMI TCP Connection(4)-192.168.1.27] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-06-03 09:21:17.892 [RMI TCP Connection(4)-192.168.1.27] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-06-03 09:21:19.759 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2024-06-03 09:21:19.760 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2024-06-03 09:21:19.761 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2024-06-03 09:21:19.761 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
